review,review_length,sentiment,purchased,received_for_free,votes_up,votes_funny,date_created,date_updated,author_num_games_owned,author_num_reviews,author_playtime_forever_min,author_playtime_at_review_min
"miserable crashes, horibble controls, scarce ressources making me play with knife and dying over and over until i find bullets again, unclear directions, with all of these agonizing elements im gonna have to give this game a... 100/10...why? CAUSE REBBECIEEEEEEEEE BEST GIRL :DD",278,1,1,0,0,1,2026-04-26,2026-04-26,356,77,545,545
"""You are almost a Jill Sandwich!""",33,1,1,0,1,1,2026-04-26,2026-04-26,474,76,649,649
Tank controls and fixed camera angles = pure survival horror excellence. Soundtrack and the voice acting add a real b-horror charm. A classic for a mf reason.,158,1,1,0,0,0,2026-04-26,2026-04-26,0,15,1424,1036
"Great game, feels amazing to play 30 years later",48,1,1,0,0,0,2026-04-26,2026-04-26,105,12,750,741
"Eu nunca tinha jogado o RE1 clássico, só o remake, mas tenho que dizer... Este aqui é um jogão! Claro, ainda prefiro o remake, mas o este clássico é muito gostosinho de jogar, tem algumas das mais icônicas músicas e diálogos dos games. Essa versão lançada na steam que foi feita pela GOG é bem boa, dá pra pular as animações das portas abrindo, não tem a cutscene inicial censurada como na primeira versão de ps1 e não tem aquele travamento de leve na troca de ângulo de câmera, são ótimas melhorias de qualidade de vida e deixam o jogo muito mais fluido. Se tem algo que não gostei, foi só o fato do steam overlay não funcionar nele e em nenhum dos três REs clássicos aqui, mas pelo que vi, esse não é um problema que todo mundo tem, algumas melhorias feitas pela comunidade e fica tudo certo, dá até pra colocar mods e melhorar de tudo no jogo se você prefere jogar assim. No mais, recomendo pacas essa versão da Steam, é um bom jeito de experimentar o RE1 clássico sem ter que emular.

OBS: Os requisitos estão todos errados, não tenho nem metade deles e o jogo roda numa boa, nunca vi 8 GB de RAM ser necessário pra rodar um jogo de ps1... Se você tem um pc mais fraquinho que nem o meu, pode comprar sem medo.",1214,1,1,0,8,0,2026-04-26,2026-04-26,73,37,694,694
"Is very good game, but is very Enigma DRM. No no no.",52,0,1,0,6,0,2026-04-25,2026-04-25,260,25,362,359
"the resident is about to turn evil.


no seriously, everyone sleeps on old games like this franchise here, a video game series that redefined on what Horror genre really means in the modern gaming world.

the traditional tank controls are simple, easy to learn and pick up to get the hang of it than what people had originally thought of it, especially when paired correctly on what you've experienced throughout the story.

despite the age of this game being overshadowed by Resident Evil Remakes, it is still a piece of historical artifact that should and definitely be given a chance to try whenever bored, you'll thank me later once you do. you'll be in a one hell of a ride.

i've recently completed Jill under a day and so too is Chris' route in respective order with both best endings and it was a big struggle, but i pulled it off with great precision and management. it's hard but it's a big satisfying catharsis when you finally escape and achieve the best record ever, i'm proud of my achievements and i will hang it onto my save files as a memory.

my only complaint about this game is because of DRM thing that Resident Evil 2, Resident Evil 3 Nemesis and Dino Crisis 1 & 2 have issues from to which many people say is the cause of instability and performance issues, but it worked fine on my end. this game is as old as jesus christ himself and is the equivalent of being turned from water to wine. literally anyone can buy it and play it right away regardless what specs you have.

8.5/10, had a blast from the past and would recommend it. whether you decide to mod it or not is entirely up to you and it's still worth it.",1637,1,0,1,0,0,2026-04-25,2026-04-28,124,38,1382,1305
"This is original Resident Evil PC version that is fixed to work on modern systems. Therefore it has all content exclusive to PC version while having none of the other versions. It has been released in collaboration between Capcom and GOG and is part of GOG's game preservation program. Which means that the purpose of this release is to allow players to experience game as it was released back in distant 1996. So no HD graphics and other alterations.
I played vanilla without adding any mods or extras. The game ran fine - it had zero crashes, bugs or other problems. My Xbox controller did not require any tinkering to comfortably play.
The game is still fun to play, even though it might look a bit dated and has cheesy voice acting and sometimes nonsensical dialogue between characters. 
Jill is still awesome and Chris remains same old meathead that types with one finger.",877,1,1,0,0,0,2026-04-25,2026-04-25,0,23,1886,1886
"If you're a big fan of the RE series, I think you should give this one a try.

The only thing I have complaints about is how the game doesn't fully shutdown so I have to shut down steam and then reopen the game back up in order to get back on it again.

But other than that, I think being able to experience the old gen of resident evil was extremely fun and very new to me. The camera movements the first time around definitely gave me a little headache trying to navigate where I go, but I started getting used to it and I started having fun. One thing I will say though is I didn't finish Chris's story because it was just too much for me, but I might give it another try in the future.",689,1,1,0,0,0,2026-04-25,2026-04-25,142,63,1019,988
para los nenitos gog que joden con que no es modeable les digo bobos por que es re facil de modear y para los que joden con el drm por el internet avisarles que mi ultima cuenta de internet fue de 20usd,202,1,1,0,0,0,2026-04-25,2026-04-25,248,43,34,34
Classic,7,1,1,0,0,0,2026-04-24,2026-04-24,0,38,655,655
"Still a fun experience from start to finish however unfortunately the game is prone to crashing at random points but the crashing is scarce enough for me at least to not be worried too much about it. Another thing is that the game does not work with the steam overlay so taking screenshots may have to be done with the printscreen / windows + printscreen which can be lame but at least it's possible. Apart from that it's definitely worth the price especially whenever it goes on sale, no cloud saves obviously so remember to back them up if you ever uninstall.",561,1,1,0,3,0,2026-04-24,2026-04-24,222,43,714,713
"""Theres Always Something About That Mansion That Makes Me ComeBack""",67,1,1,0,0,0,2026-04-24,2026-04-24,148,39,19,10
"I'll keep the review short while the game finish (both routes) is still very fresh on my mind.

First exposure to the RE franchise was with the 2005 release of RE4, and ever since I've had the pleasure of playing through 4, 5, 6, 7, and hoping to add 8 and 9 to this roster. However, with the surprise release of the older RE1, RE2 and RE3 on Steam, I postponed my current trajectory to play the classics starting with RE1. And classic it is. Iconic is the word I would describe RE1, complete with frustrating (and through that, spooky) tank controls, cheesy and mistimed dialogue, and the old fixed camera angle. If I had to plant myself back in the past to play this for the first time, I would feel the exact same way. 

I've played through both routes, and for a quicker summary: Chris was my first route, who was subjectively and objectively the more difficult route of the two. I did almost give up, but I tried again and the mansion just clicked- felt so honed in afterwards, reducing my deaths and total saves to just one hand. Jill was more cruise control afterwards, but her lower HP and different routing still made her a challenge in some areas. Overall, very fun runbacks once you know the entire estate!

So, I'm giving this a solid 8.5/10. If you're interested in the classic RE games, then do exhibit some patience when starting the game. It really does get good!",1379,1,1,0,2,0,2026-04-24,2026-04-24,0,21,2121,2121
"Even 30 years later, this game still stands tall as one of the pinnacles of survival horror. An impressive feat which pushed storytelling in gaming, even with some wonderfully cheesy line delivery.",197,1,1,0,0,0,2026-04-24,2026-04-24,0,12,1445,1444
"This game still holds up. It's definitely showing it's age, but hey, what 30 year old game isn't? Genuinely one of the most fun times I've had in recent memory.

8/10",166,1,1,0,0,0,2026-04-24,2026-04-24,0,11,1119,1040
"Amazing game. Really establishes the series. It is an older game (Obviously-1996) so it does have tank controls and fixed camera angle. But hey, get used to that, and it is a wonderful game",189,1,1,0,0,0,2026-04-24,2026-04-24,0,1,1742,808
"now THIS is what i call a 10/10, its DNA still passed on to modern games showing just how impactful it was in its hayday. Easily the best game in the franchise with the most loveable characters and fun ""puzzles"" that will leave your browser closed throughout the full 10 hour duration(honestly i lost track of how long this game is cuz i had to restart it quarter way through several times- not like im complainig ;P)

Although you might be turned off by the tank controls, DO NOT SWEAT, although you might feel frustrated with them at first, trust me- youll get used to it by the 10th dog youll have to dodge in the corridors. 

As for the graphics, theyre not that bad at all, in fact i really liked the creaky woodden floors, the stained carpets and the gloomy forest you can almost see through the static tinted windows, the many paintings(that must have seen horrors beyond resident evil) scattered around the premises really adding to the feeling as if youre in some huge mysterious mansion. The fact that theres so little visual detail really gets your imagination going making it extra immersive !!

Anyway biggest luck to you !!!! Dont forget to do exercises to keep your muscles moving for the sake of your spine and not become a cranky shrimp by 30

""You have once again entered the world of survival horror...""",1322,1,1,0,2,0,2026-04-23,2026-04-23,118,116,1151,1119
"I really tried to give the original Resident Evil (1996 video game) a fair shot, but I found it more frustrating than fun.

The biggest issue for me is the ammo balance. It’s not just “survival horror scarcity”—it feels excessive. There are too many enemies for how little ammo you’re given early on, which creates a constant sense of being underprepared no matter how carefully you play. Instead of building tension, it often turns into trial-and-error and backtracking.

I understand the argument that you’re supposed to avoid enemies, but in practice that doesn’t always work well. The tank controls and fixed camera angles make dodging feel unreliable and awkward. And when the alternative is relying on the knife—which feels weak and unsatisfying—the gameplay starts to feel clunky rather than tense.

I can respect how influential this game was in shaping the survival horror genre, but being important historically doesn’t automatically make it enjoyable to play today. Compared to later versions like the Resident Evil (2002 remake), parts of the experience feel outdated in ways that hurt the overall gameplay.

If you have nostalgia for it or enjoy very punishing resource management, you might still like it. Otherwise, this is one of those classics that may not click with everyone today.",1300,0,1,0,5,8,2026-04-23,2026-04-24,164,88,28,28
"rlly butt controls but not blaming it since its old as ♥♥♥♥, dont enjoy it as much as the newer titles",102,1,1,0,7,2,2026-04-23,2026-04-23,0,3,16,15
Good golly! These Residents sure are Evil.,42,1,1,0,1,1,2026-04-23,2026-04-23,143,39,277,184
"I'd like to thank my good friend, resident X-Box and rhythmn game enthusiast, BBW lover for the game lmao.
Good stuff but why is there anticheat on a 30 year old game?

It's the annoying anti-cheat too, so head's up.",216,1,0,1,0,0,2026-04-23,2026-04-23,0,20,487,487
"beat the remake before the classic trilogy was released on steam. just beat Chris's story and honestly, this game still holds up. it's old yes, but this is what started it all. 8/10
ACHIEVEMENTS AND TRADING CARDS PLZ",216,1,1,0,1,0,2026-04-22,2026-05-02,207,9,822,606
"The mansions residents seemed a little evil and quirky,",55,1,1,0,4,0,2026-04-22,2026-04-22,0,4,601,320
key items put in chest are gone so cant move on,47,0,1,0,2,3,2026-04-22,2026-04-22,1071,67,146,146
"[h1] A solid way to experience the original RE1[/h1]

Finally having the original 1996 Resident Evil on Steam is a massive win for both long time fans and those interested in the roots of Resident Evil.
One of the best additions is the ability to skip the door opening animations, while they were great for building tension and hiding the loading screen in the 90s, being able to bypass them now makes the gameplay loop feel much faster and more responsive.
The game offers some replayability thanks to being able to play as Chris and Jill. I have finished my first playthrough as Chris Redfield, and I’m already planning my next run as Jill Valentine to see the story from her perspective.
However, it is worth noting that this is a very traditional experience. The game relies heavily on the classic tank controls and fixed camera angles, and if you are someone who strictly prefers modern RE movement, this game might not be for you, if you don't mind them tho it's a really good game.
I know there has been a lot of drama regarding the DRM, but honestly, it didn't impact my experience at all. If you want to play this game without buying it on GoG this is it.",1164,1,1,0,6,0,2026-04-21,2026-04-21,250,5,626,626
"Very fun puzzles, amazing soundtrack, and cool lore. The enemies were often lacking but what do you expect from 1996. They only enemies that i liked were the cerberus and the early zombies",188,1,1,0,1,0,2026-04-21,2026-04-21,0,5,835,835
"All thanks to GOG and Capcom for bringing this masterpiece after so many years, it's not the best version but the more the classics become available the merrier.",161,1,1,0,31,1,2026-04-21,2026-04-21,204,27,16,14
Poor graphic,12,0,1,0,1,21,2026-04-21,2026-04-21,0,2,525,525
"(Sorry in advance if my English isn't perfect)

Since I'm a big fan of the Resident Evil franchise, when this game was released here on Steam, I decided to give it a try. I've only played Jill's campaign so far, but I'm quite surprised at how well this game holds up to this day, and how ahead of its time this game must've been back in 1996!

Resident Evil 1 is survival horror at it's core, not only because of the claustrophobic rooms and narrow hallways, but also because of the inventory with limited slots, and the scarce resources that the game gives you. Frequently, I was undecided about whether I should use my ammo to clear a room, or spare them and risk being bitten by a zombie and waste an herb, for example. 
Also, the Spencer's mansion is such a unique scenario, and the soundtrack is terrifying and unnerving. The puzzles are challenging, and yet they're very fun to solve. The backtracking was so organic that I was always curious about what new doors I could open with a new key. It's noticeable how the developers thought of everything to give you the best survival horror experience back then. 
The story is very intriguing and has a few plot twists along the way, which is surprising for the year that it was released, despite the ""iconic"" voice-acting. 
Also, read the files for a better understanding of the story and the puzzles!

Overall, if you don't mind the tank-style controllers, I'm sure you'll have a blast playing this!

[h3]Steam Deck[/h3]
To be honest, I was dissapointed by the fact that this game didn't run on Steam Deck right away. I had to change the Proton version to a experimental version, and mess with some of the game files to get it running, and yet, the pre-rendered cutscenes are still bugged - they don't play full screen mode like the rest of the game. 
Also, I had to use a custom control pre-set made by the community to be able to play it correctly. 
I really hope that this get fixed in the future and the game becomes verified, so that more Steam Deck players can enjoy these games effortlessly :/",2054,1,1,0,5,0,2026-04-21,2026-04-22,106,1,236,236
"I tried getting into Resident Evil with the REmake a couple months ago, and for some reason I just found it boring. Not scary, not hard, just boring.

But this original game feels so much more fun, challenging and immersive. The puzzle sections were fun and I like the old movement, it has charm.",296,1,0,0,2,0,2026-04-20,2026-04-20,252,16,820,390
Chris? Stop it!,15,1,1,0,3,1,2026-04-20,2026-04-20,460,101,359,359
Its really cool that capcom and gog released the original 3 resident evil games on steam and its nice to experience the classic games,133,1,1,0,8,0,2026-04-20,2026-04-20,0,78,617,617
"Such a good game, that isn't given a fair shot because it is clearly dated. so happy to see it available.",105,1,1,0,0,0,2026-04-19,2026-04-19,0,1,290,290
"outdated & terrible gameplay mechanic, there is little to no clue i got stuck many times and gave up halfway through story as i kept watching someone else for guidance making me lost interests, lacks steam overlay & achievements or even basic in game option... you better of getting the other version or skip this entirely IMO",326,0,1,0,0,15,2026-04-19,2026-04-19,74,50,389,389
"Remove Sphere Hunter from the ""RESIDENT EVIL"" title call in the Steam trailer for this",86,0,1,0,45,1,2026-04-19,2026-04-19,733,20,53,53
has  w e i r d  third or second person camera angles the backrounds are PNGs youd think this is a not recommended comment   b u t t   i like it :) 5 outa 5,155,1,1,0,0,0,2026-04-19,2026-04-19,0,10,120,92
Swag,4,1,1,0,0,0,2026-04-19,2026-04-19,217,45,1576,1532
"Classic RE 1: It runs well and looks fine for a 1996 game. Gameplay wise it feels a bit more a like point and click adventure game compared to RE 2C which i just finished playing after RE 1C. Since the game wants you to examine not only your inventory but the environment and background objects more closely. Which makes it a bit more exploration heavy compared to RE 2C which is more straight forward and streamlined. 

Controls are good and work best with a d-pad. Analog feels a bit awkward which is a similar issue i have  with MGS1 and Tomb Raider 1.
Soundtrack: It's very good and provides the game with good atmosphere. No dualshock basement theme included
Con: There are no cloud saves apparently which means you have to make back ups.

If your fan of survival horror and don't mind learning tank controls, you will probably have a good time.",856,1,1,0,1,0,2026-04-18,2026-04-18,0,3,412,412
classic <3,10,1,1,0,0,0,2026-04-18,2026-04-18,0,28,441,240
"[h1]30 years and it still holds up. The OG of survival horror.[/h1]

Yes, the Steam version is very lazy and barebones. Capcom could have shown a lot more love. But nevertheless: RE1 is a classic and it‘s just as fun to play as it was decades earlier. Sure, the sequels made everything bigger and better, but that creepy derelict mansion full of zombies in the middle of the nocturnal woods is still the creepiest scenario of the classic trilogy. As for myself, I played the original Playstation version of RE1 for the very first time just a couple years ago (thus far I had only played the remake from the RE Origins collection once some 10 years back) and in regards to the fun factor, it’s amazing how this game still holds up almost as well as the most recent entries of the series, despite it‘s three decades old presentation and controls. 

If you‘ve never played the original Resident Evil trilogy (shame on you!), there is no more excuse now. Do it.
______________________________

RESIDENT EVIL
Genre: Survival-Horror
Release: Q3 1997 (PC-Version)

( ) 0/8 Simply one of the worst games ever made. Don't waste any money on this.
( ) 1/8 Bad. Seriously flawed with barely any redeeming qualities. Worth a couple of Cents at best, if at all.
( ) 2/8 Sub-par. Only for hardcore-fans of respective genre / series. Don't pay more than 5 bucks.
( ) 3/8 Meh-diocre. It‘s okay. Don't pay more than 10 bucks.
( ) 4/8 Decent, but not for everybody. Don't pay more than 15 bucks.
( ) 5/8 Good game, Must-play for genre- / series-fans. Worth 20 to 25 bucks max, if you are not a fan.
( ) 6/8 Great game, universal recommendation. 30 bucks would be a steal for this.
(X) 7/8 Outstanding game, a milestone of it‘s respective genre. Definitely worth its full prize.
( ) 8/8 Simply one of the best games ever made. Get this, the prize doesn't matter.",1843,1,1,0,0,0,2026-04-18,2026-04-18,0,350,9,7
Classic Jill Sandwich BANGER!,29,1,1,0,1,0,2026-04-18,2026-04-18,146,6,431,431
"Awesome Game still fun to this day, It was the first time I've played this game. The first 20 min might seem strange to play due to the tank controls but still a blast to play now. Sick",185,1,1,0,0,0,2026-04-18,2026-04-18,809,116,408,408
