review,review_length,sentiment,purchased,received_for_free,votes_up,votes_funny,date_created,date_updated,author_num_games_owned,author_num_reviews,author_playtime_forever_min,author_playtime_at_review_min
What can I say. Absolute classic and one of my childhood games. Really glad to see it here after all those years. Works just fine without additional modding.,157,1,1,0,2,0,2026-04-30,2026-04-30,362,61,1089,1089
"monsters, guess after this there'll be one less to worry about",62,1,1,0,0,0,2026-04-30,2026-04-30,0,2,585,585
brilliant game worth every penny,32,1,1,0,0,0,2026-04-29,2026-04-29,109,2,1511,1511
"Still a classic, albeit not a huge masterpiece. 

Some context: unlike nearly the entire rest of the series, I haven't played classic 2 or classic 3 since around the same time I first picked up Resident Evil 1 Remake, well over twenty years ago. And since it's been a few years since I played the 2019/2020 remakes, I figured I'd try the old versions again.

That wave of nostalgia hit and it really is still a wonderful game. I will say that if you're trying this for the first time, do it on Easy - these are TANK tank controls, and will definitely take 20-30 minutes to get used to. But once you're in, it's a very charming puzzle-based survival horror game.

Positives: The game isn't at all hard to understand or get into, it's never really boring, and you don't stay in one area for too long, unlike some of the other RE games. The licker scene especially is still iconic, just very chilling.

Negatives: ♥♥♥♥ the fights with G Birkin and the Super Tyrant in particular, plus those little G-spawn and roaches. You know the drill.

Also, and this might be a little bit controversial...the game just isn't scary? I was a little underwhelmed because I remembered this game being terrifying in my childhood, but then again, I was five years old. But I don't think I had any real fear or nerves the entire playthrough. The raw material that would later be perfected as the 2019 remake is definitely still there, but I guess this standard of horror really stopped working on me ages ago.

More negatives: each given run is actually quite short, which doesn't really make it better that getting a complete story out of it requires playing the same game FOUR freakin' times. That's an evil abuse of my time, even for 1998. The remake somehow making the runs way longer yet still not fixing this issue is even more evil, but that's for later.

More positives: Despite you basically knowing the full canon story by the time you finish Leon B, Claire B still offers some unique spooks and features, such as a confrontation with Mr. X on the RPD balcony and Chief Irons meeting an even more grisly end than before. So it's not ALL bone-dry repetition. 

Overall, a fun game and still worthwhile, but obviously dated and remade to perfection since.",2257,1,1,0,0,0,2026-04-29,2026-04-29,0,7,3291,3290
"I waited so long to be able to play the 2 most bad azz characters in the OG Resident Evil 2 Leon and Claire again on steam the wait was so worth it! I kind of wish every Resident Evil game had a A B way of playing the game! The best thing about the game is being able to Speed Run the game to unlock the best weapons so much fun to be had!

I Give This Game A AB / 10",369,1,1,0,0,0,2026-04-29,2026-04-29,720,51,1638,1638
"I never write reviews but ♥♥♥♥♥♥♥, what a great game, If u don't wanna read all just check pros/cons
-Pros: Excellent game, not too long It took me8 hrs to beat but I've seen ppl do it in avg 4 hrs
-Cons: Setting up my controller was a nightmare until I figured out I had to change my layout to KB and mouse, then u can remap your keys ingame, this game has no cons other than this, Its super fun, Its cheap, has great replayability, go for it, get it from here on a bundle or on GOG u won't regret it.

 I thought graphics were bad at first but I was so wrong, I love the graphics, the suspense music, the gameplay, there's a learning curve to be able to play and enjoy this game but I think this is what made the experience awesome, I played (rented) this game when I was a kid (didn't finish it tho) and I remembered It was awesome but not this good, If I hella enjoyed it now, this was a beast of a game back on It's era for sure, If u like horror/survival/suspense games give this a try because this is THE example of what a retro survival game should be.",1064,1,1,0,0,0,2026-04-29,2026-04-29,0,2,728,728
"Funny Leon Kennedy, good game",29,1,1,0,0,0,2026-04-29,2026-04-29,141,2,472,472
"Finished ClaireA/LeonB. I have never seen a game so much like its remake but so different at the same time. Many of the same areas and plot points are there but things are handled much differently in terms of exposition and pacing. I think the Sherry sections are done way better in the original as she gets more screen time leading to a more believable connection.

The only thing bringing this down compared to the remake is the gameplay. While everything is improved upon from original RE1... there are way too many zombies in some areas where it feels like it turns into more of a shooter than a horror game. Some rooms will have 5-6 zombies in your way you just have to take out. 

I could blab about the changes for ages but Its just an entirely different experience that should be played if you enjoyed the remake.",825,1,1,0,0,0,2026-04-28,2026-04-28,0,161,732,732
"I absolutely love Resident Evil 2—especially the original 1998 version. It’s such a great game and one that really stuck with me growing up. I remember playing it with my older brothers when I was a kid, and it used to scare the living hell out of me. Over time though, I grew up with it, and it became one of those games I can always come back to. I even remember playing it again on the PlayStation 2—I just couldn’t get enough of it.

Claire is easily my favorite character. I love her to death—she’s my favorite overall, no question.

The remake is also fantastic and did an amazing job bringing the game back in a modern way while keeping what made it special. Overall, I’d say this game is incredible—honestly, it feels perfect down to the very fine details. It’s a total chef’s kiss.

The only thing I didn’t really like was Claire’s ending section in the lab where you have to get the cure. That part can be really frustrating and feels like a bit of a pain.

But even with that, the game is still amazing. Definitely one of my all-time favorites.",1055,1,1,0,1,0,2026-04-28,2026-04-28,164,88,147,147
Classic survival horror.  Good to see where this series began.  I'm starting with the originals before playing the remasters.,125,1,1,0,1,0,2026-04-28,2026-04-28,780,378,618,618
"This game is one of my favorites of all time and the Steam release brought back the same rush and feeling of nostalgia while looking great doing it. You play as both Leon and Claire in their own seperate scenarios in Raccoon City, solving puzzles, managing scarce equipment and small inventory space, while slowly uncovering the secrets of a viral outbreak. Its still impressive how the two different storylines intertwine and how decisions you make in scenario A changes your scenario B, making replayabilty very high, something not even the 2019 remake could emulate properly. 

The Steam version cleans up visuals and runs well while keeping the classic fixed-camera, tank-control, and vibe that might feel clunky (at first) to a modern audience but it also makes everything more tense and atmospheric. The story is still creepy, tense, and clever. The 2019 remake is slicker and more modern (over-the-shoulder camera, smoother combat), but it’s a different experience — the original’s charm and dread are its own thing. If you love classic survival horror or have nostalgia for this game, this Steam (or GOG) release is a must-play.",1136,1,1,0,1,0,2026-04-28,2026-04-28,689,69,439,439
"This game doesn't need a full length review in my opinion, it's a masterpiece of it's time and still holds up today. 

I just want to say thank you to GOG and Capcom for bringing these three RE classics to pc. I hope other developers follow suit and partner up with GOG to revive classic games. Too many golden nuggets still not accessible to the public unless you pay a scalper 200+ euros/dollars to get them. 

Next up Konami give us Silent Hill 1,2, 3 and 4 on steam!",470,1,1,0,4,0,2026-04-28,2026-04-28,0,98,73,73
"The OG Resident Evil 2 is a certified classic... but it hasn't aged quite as well as I expected it to. Over the past week I played and completed both the Claire (A) and Leon (B) scenarios on Normal difficulty. The playthrough with Claire felt more like Easy difficulty - I had a ton of first aid sprays and green herbs in my stash by the end of the game. Leon's scenario felt more challenging, mostly because of the final segment of the game and a couple battles. The scenarios are very similar, probably like 80%+ the same. Honestly, it kind of felt like an artificial way to make the game longer. I didn't use any guides, never looked anything up, and Claire's scenario took me longest at around 7 hours... and half of that time was spent running around in the police station looking for the right place to go. The police station is like a huge puzzle box... whereas the areas of the game that come after the police station mostly feel linear and easy to figure out. The tank controls - while it feels easier to manage in this PC port, it's still awkward and can screw you over in battles, especially when coupled with the three directional vertical aiming - lickers in particular are a pain mostly because of these awkward controls. Mr. X is not really a threat at all for most of this game... you can just run right by him and he won't follow you into the next room... they did a way better job with Mr. X in the remake. Also, this is probably just because the OG RE2 is 28 years old now, but I did not find it scary at all, whereas the remake genuinely got under my skin a few times. These issues aside, I still had a great time playing through the OG Resident Evil 2. It was my first time playing through it since the late 90's when my friend had it on his PlayStation... and I'm pretty sure we did *not* beat the game back then. I've played through the remake/remaster a few times and can tell you unequivocally that the remake is superior in almost every way, except for the atmosphere/vibes. Late 90's/early 2000's games have amazing atmosphere (Deus Ex is another great example of this) and Resident Evil 2 is no exception. If you don't have nostalgia for this OG version of Resident Evil 2, I can't think of many reasons to play it over the remake, especially since the remake is often on sale for $10 to $20 and this OG version costs $9.99. This is still a classic, but unless you want it for the nostalgia, to continue your RE collection or experience the early days of this amazing franchise... buying the remake instead is recommended. In 1998 I would have rated this game a 9.5 out of 10, but aging hasn't been as kind to it as expected, so in 2026 I rate it an 8.5 out of 10.",2692,1,1,0,1,0,2026-04-28,2026-04-28,0,76,813,813
Japanese artificial difficulty slop. Where is quicksave?,56,0,0,0,0,4,2026-04-28,2026-04-29,0,13,235,235
spooky,6,1,1,0,0,0,2026-04-28,2026-04-28,0,28,343,199
